,Date_mutation,valeur_fonciere,No_voie,Type_de_voie,Code_voie,Voie,Code_postal,Commune,Code_departement,Code_commune,Surface_Carrez_du_1er_lot,Nombre_pieces_principales,Surface_terrain
15494,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,2.0,1373.0
15495,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,2.0,1373.0
15496,07/12/2022,3024500.0,75.0,RUE,1480,DE FAMARS,59300.0,VALENCIENNES,59,606,,2.0,1373.0
15497,30/11/2022,63000.0,18.0,RUE,2910,PERCEPAIN,59300.0,VALENCIENNES,59,606,21.2,1.0,
15498,09/12/2022,128000.0,18.0,RUE,2910,PERCEPAIN,59300.0,VALENCIENNES,59,606,,3.0,
15499,16/11/2022,163500.0,48.0,RUE,0024,DE L ABBE VICTOR SENEZ,59300.0,VALENCIENNES,59,606,,1.0,68.0
15500,16/11/2022,163500.0,48.0,RUE,0024,DE L ABBE VICTOR SENEZ,59300.0,VALENCIENNES,59,606,,1.0,68.0
15501,16/11/2022,163500.0,48.0,RUE,0024,DE L ABBE VICTOR SENEZ,59300.0,VALENCIENNES,59,606,,1.0,68.0
15502,16/11/2022,163500.0,48.0,RUE,0024,DE L ABBE VICTOR SENEZ,59300.0,VALENCIENNES,59,606,,1.0,68.0
15503,16/11/2022,163500.0,48.0,RUE,0024,DE L ABBE VICTOR SENEZ,59300.0,VALENCIENNES,59,606,,2.0,68.0
15504,29/11/2022,111880.0,5.0,PL,0430,JEAN JAURES,59230.0,SAINT-AMAND-LES-EAUX,59,526,,3.0,37.0
15505,07/12/2022,190000.0,4.0,RUE,0396,BAUDOUIN RES MARIN L MESLE,59300.0,VALENCIENNES,59,606,93.31,4.0,
15506,30/11/2022,240000.0,141.0,RUE,1360,EMMANUEL REY,59300.0,VALENCIENNES,59,606,,1.0,180.0
15507,30/11/2022,240000.0,141.0,RUE,1360,EMMANUEL REY,59300.0,VALENCIENNES,59,606,,1.0,180.0
15508,30/11/2022,240000.0,141.0,RUE,1360,EMMANUEL REY,59300.0,VALENCIENNES,59,606,,2.0,180.0
15509,30/11/2022,240000.0,141.0,RUE,1360,EMMANUEL REY,59300.0,VALENCIENNES,59,606,,2.0,180.0
15510,30/11/2022,240000.0,141.0,RUE,1360,EMMANUEL REY,59300.0,VALENCIENNES,59,606,,2.0,180.0
15511,30/11/2022,240000.0,141.0,RUE,1360,EMMANUEL REY,59300.0,VALENCIENNES,59,606,,2.0,180.0
15512,30/11/2022,240000.0,141.0,RUE,1360,EMMANUEL REY,59300.0,VALENCIENNES,59,606,,2.0,180.0
15513,01/12/2022,90000.0,13.0,RUE,2830,SAINT-JACQUES,59400.0,CAMBRAI,59,122,,3.0,
15514,02/12/2022,1000.0,12.0,RUE,1840,DU GRAND FOSSART,59300.0,VALENCIENNES,59,606,,1.0,
15515,05/12/2022,109000.0,12.0,RUE,1020,DELPHIN DUTEMPLE,59400.0,CAMBRAI,59,122,,3.0,
15516,14/12/2022,88000.0,45.0,AV,1110,DE DUNKERQUE,59400.0,CAMBRAI,59,122,58.53,2.0,
15517,18/11/2022,40000.0,1.0,ALL,2940,SAINT-ROCH,59400.0,CAMBRAI,59,122,,1.0,
15518,07/12/2022,188500.0,402.0,RUE,0510,JEAN JAURES,59410.0,ANZIN,59,14,,2.0,294.0
15519,07/12/2022,188500.0,402.0,RUE,0510,JEAN JAURES,59410.0,ANZIN,59,14,,1.0,294.0
15520,07/12/2022,188500.0,402.0,RUE,0510,JEAN JAURES,59410.0,ANZIN,59,14,,1.0,294.0
15521,07/12/2022,188500.0,402.0,RUE,0510,JEAN JAURES,59410.0,ANZIN,59,14,,2.0,294.0
